	mg0	mg1	mg2	mg4	mg5	mg6
i.ln_asset	-0.363*	-0.358*	-0.291	-0.357*	-0.286	-0.349*
	(0.171)	(0.169)	(0.162)	(0.169)	(0.163)	(0.169)
i.cash	-0.911	-0.786	-1.011	-0.784	-1.013	-0.867
	(1.130)	(1.131)	(1.130)	(1.131)	(1.129)	(1.134)
i.roa	0.127	0.197	0.006	0.191	-0.012	0.210
	(0.707)	(0.713)	(0.734)	(0.713)	(0.734)	(0.712)
i.m2b	-0.041	-0.038	-0.035	-0.038	-0.034	-0.038
	(0.026)	(0.027)	(0.025)	(0.027)	(0.025)	(0.027)
i.div	0.396	0.377	0.227	0.378	0.223	0.390
	(0.293)	(0.295)	(0.301)	(0.295)	(0.301)	(0.295)
j.age	-0.094	-0.094	-0.098	-0.093	-0.095	-0.121
	(0.204)	(0.204)	(0.213)	(0.208)	(0.228)	(0.201)
I(j.age^2)	0.004	0.004	0.004	0.004	0.004	0.004
	(0.006)	(0.006)	(0.007)	(0.007)	(0.007)	(0.006)
i.age	0.002	0.002	0.005	0.002	0.005	0.001
	(0.009)	(0.009)	(0.009)	(0.009)	(0.009)	(0.009)
i.deg.full	0.002*	0.002	0.002*	0.001	0.002*	0.002
	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)
j.deg.full	-0.127***	-0.127***	-0.163***	-0.126***	-0.161***	-0.110**
	(0.032)	(0.032)	(0.038)	(0.032)	(0.038)	(0.037)
ij.same.region	0.623*	0.628*	0.676*	0.629*	0.679*	0.559*
	(0.279)	(0.279)	(0.292)	(0.279)	(0.292)	(0.285)
i.fm.mmc.sum	0.122	0.772	-0.092	0.779	-0.113	0.839
	(0.375)	(1.027)	(0.785)	(1.027)	(0.778)	(1.082)
i.acqs.100	-0.229	-0.176	-0.153	-0.178	-0.155	-0.170
	(0.190)	(0.206)	(0.214)	(0.206)	(0.215)	(0.206)
j.acqs.100	13.118	13.173	13.845	12.940	13.148	14.032
	(10.281)	(10.262)	(10.673)	(10.411)	(11.296)	(10.055)
ij.cossim	2.389***	2.413***	2.441***	2.410***	2.445***	2.414***
	(0.720)	(0.724)	(0.730)	(0.723)	(0.729)	(0.728)
ij.dist	-0.379**	-0.375**	-0.415**	-0.380**	-0.432**	-0.358**
	(0.130)	(0.130)	(0.130)	(0.130)	(0.132)	(0.133)
j.constraint	-2.460**	-2.468**	-2.827**	-2.454**	-2.789**	-2.289**
	(0.833)	(0.834)	(0.896)	(0.833)	(0.890)	(0.831)
i.constraint	-5.817**	-5.389**	-2.192	-5.421**	-2.095	-5.474**
	(1.952)	(2.018)	(1.768)	(2.027)	(1.770)	(2.064)
i.pow.n3	0.031	0.031	-0.010	0.032	-0.010	0.033
	(0.084)	(0.083)	(0.084)	(0.083)	(0.084)	(0.083)
ij.syn.constraint	-16.342***	-16.386***	-6.724**	-16.305***	-6.412**	-16.892***
	(1.959)	(1.960)	(2.373)	(1.966)	(2.353)	(2.046)
ij.syn.pow.n3	-0.002	-0.002	-0.006	-0.021	-0.035	-0.000
	(0.014)	(0.014)	(0.008)	(0.077)	(0.074)	(0.020)
I(i.fm.mmc.sum^2)		-0.152	0.013	-0.154	0.018	-0.176
		(0.220)	(0.191)	(0.220)	(0.190)	(0.226)
ij.syn.constraint x I(i.fm.mmc.sum^2)			-2.076***		-2.113***	
			(0.510)		(0.505)	
ij.syn.pow.n3 x I(i.fm.mmc.sum^2)				0.005	0.010	
				(0.016)	(0.025)	
ij.syn.closeness2						0.001
						(0.002)
ij.syn.closeness2 x I(i.fm.mmc.sum^2)						0.000
						(0.000)
Likelihood-ratio	298.2	298.7	312.9	298.9	313.8	302.8
Log-likelihood	-220.6	-220.4	-213.2	-220.2	-212.8	-218.3
Deviance	441.2	440.7	426.5	440.5	425.6	436.5
AIC	483.2	484.7	472.5	486.5	473.6	484.5
BIC	553.3	558.1	549.2	563.3	553.7	564.6
N	208	208	208	208	208	208
