	mg0	mg1	mg2	mg4	mg5	mg6
i.ln_asset	-0.358	-0.341	-0.316	-0.391	-0.358	-0.342
	(0.236)	(0.239)	(0.224)	(0.243)	(0.227)	(0.243)
i.cash	-1.502	-1.664	-1.361	-1.604	-1.578	-1.678
	(1.350)	(1.356)	(1.319)	(1.358)	(1.344)	(1.362)
i.roa	0.049	0.251	0.288	0.384	0.391	0.205
	(0.782)	(0.799)	(0.768)	(0.802)	(0.765)	(0.788)
i.m2b	-0.009	-0.005	-0.006	-0.004	-0.009	-0.003
	(0.021)	(0.024)	(0.025)	(0.024)	(0.022)	(0.024)
i.div	0.156	0.179	0.149	0.115	0.104	0.183
	(0.210)	(0.212)	(0.213)	(0.215)	(0.214)	(0.212)
j.age	-0.050	-0.050	-0.086	-0.082	-0.136	-0.069
	(0.121)	(0.121)	(0.122)	(0.125)	(0.129)	(0.123)
I(j.age^2)	0.001	0.001	0.002	0.002	0.003	0.001
	(0.003)	(0.003)	(0.003)	(0.003)	(0.003)	(0.003)
i.age	-0.001	-0.000	0.003	0.002	0.004	-0.001
	(0.009)	(0.009)	(0.009)	(0.009)	(0.009)	(0.009)
i.deg.full	0.001	0.002	0.002*	0.002	0.002*	0.002
	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)
j.deg.full	-0.155***	-0.156***	-0.182***	-0.208***	-0.235***	-0.156***
	(0.032)	(0.032)	(0.034)	(0.034)	(0.037)	(0.033)
ij.same.region	0.580*	0.608*	0.654*	0.729*	0.812*	0.618*
	(0.291)	(0.294)	(0.311)	(0.301)	(0.319)	(0.299)
i.fm.mmc.sum	-0.534	0.353	-0.635	0.581	-0.483	0.218
	(0.394)	(1.118)	(0.761)	(1.151)	(0.765)	(1.108)
i.acqs.100	-0.085	-0.086	-0.148	-0.025	-0.091	-0.073
	(0.223)	(0.223)	(0.221)	(0.226)	(0.221)	(0.224)
j.acqs.100	10.473	10.455	16.984	13.944	19.829	9.735
	(11.459)	(11.391)	(12.381)	(12.932)	(13.078)	(11.140)
ij.cossim	2.180**	2.168**	1.997*	2.202**	1.965*	2.152**
	(0.763)	(0.766)	(0.784)	(0.774)	(0.791)	(0.766)
ij.dist	-0.283*	-0.282*	-0.266*	-0.286*	-0.296*	-0.276*
	(0.127)	(0.127)	(0.133)	(0.129)	(0.136)	(0.128)
j.constraint	-4.042***	-4.036***	-4.725***	-4.296***	-5.023***	-4.182***
	(0.851)	(0.850)	(0.943)	(0.903)	(1.006)	(0.878)
i.constraint	-9.013*	-8.256*	-5.046	-8.274*	-5.557*	-8.737*
	(3.519)	(3.564)	(2.808)	(3.677)	(2.798)	(3.560)
i.pow.n3	-0.139	-0.132	-0.135	-0.148*	-0.143*	-0.137
	(0.075)	(0.074)	(0.069)	(0.073)	(0.069)	(0.074)
ij.syn.constraint	-21.654***	-21.772***	-7.210*	-23.648***	-7.068*	-21.826***
	(2.433)	(2.441)	(2.825)	(2.649)	(2.989)	(2.410)
ij.syn.pow.n3	0.031**	0.031**	0.014	-0.084	-0.084	0.031**
	(0.012)	(0.012)	(0.009)	(0.049)	(0.054)	(0.012)
I(i.fm.mmc.sum^2)		-0.176	0.009	-0.229	-0.044	-0.141
		(0.204)	(0.158)	(0.209)	(0.160)	(0.203)
ij.syn.constraint x I(i.fm.mmc.sum^2)			-2.475***		-2.669***	
			(0.482)		(0.498)	
ij.syn.pow.n3 x I(i.fm.mmc.sum^2)				0.030***	0.027**	
				(0.009)	(0.010)	
ij.syn.closeness2						0.004
						(0.003)
ij.syn.closeness2 x I(i.fm.mmc.sum^2)						-0.000
						(0.000)
Likelihood-ratio	272.0	272.8	295.5	285.9	309.2	275.1
Log-likelihood	-225.2	-224.9	-213.5	-218.3	-206.7	-223.7
Deviance	450.5	449.7	427.0	436.6	413.3	447.4
AIC	492.5	493.7	473.0	482.6	461.3	495.4
BIC	561.3	565.9	548.4	558.0	540.0	574.0
N	196	196	196	196	196	196
