	mg0	mg1	mg2	mg4	mg5	mg6
i.ln_asset	-1.060***	-1.052***	-1.026***	-1.050***	-1.024***	-1.063***
	(0.156)	(0.157)	(0.156)	(0.157)	(0.156)	(0.160)
i.cash	-3.905***	-3.836***	-3.592***	-3.818***	-3.578***	-3.879***
	(0.971)	(0.977)	(0.980)	(0.977)	(0.980)	(0.987)
i.roa	-0.715	-0.700	-0.677	-0.697	-0.675	-0.688
	(0.414)	(0.416)	(0.415)	(0.416)	(0.415)	(0.417)
i.m2b	-0.013*	-0.013*	-0.013*	-0.013*	-0.013*	-0.013*
	(0.006)	(0.006)	(0.006)	(0.006)	(0.006)	(0.006)
i.div	0.042	0.065	0.058	0.064	0.057	0.050
	(0.221)	(0.226)	(0.227)	(0.226)	(0.227)	(0.228)
j.age	-0.040	-0.040	-0.045	-0.040	-0.045	-0.050
	(0.066)	(0.066)	(0.066)	(0.066)	(0.066)	(0.067)
I(j.age^2)	0.001	0.001	0.001	0.001	0.001	0.001
	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)
i.age	0.004	0.004	0.005	0.004	0.005	0.004
	(0.006)	(0.006)	(0.006)	(0.006)	(0.006)	(0.007)
i.deg.full	0.004***	0.004***	0.004***	0.004***	0.004***	0.004***
	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)
j.deg.full	-0.064***	-0.064***	-0.069***	-0.064***	-0.069***	-0.067***
	(0.017)	(0.017)	(0.017)	(0.017)	(0.017)	(0.017)
ij.same.region	0.615**	0.617**	0.614**	0.619**	0.616**	0.643**
	(0.234)	(0.234)	(0.236)	(0.234)	(0.236)	(0.236)
i.fm.mmc.sum	-0.274	0.103	0.010	0.112	0.018	0.091
	(0.248)	(0.759)	(0.715)	(0.759)	(0.715)	(0.766)
i.acqs.100	0.067	0.083	0.091	0.084	0.091	0.086
	(0.156)	(0.158)	(0.158)	(0.158)	(0.158)	(0.159)
j.acqs.100	6.108	6.143	6.359	6.141	6.355	5.898
	(4.289)	(4.301)	(4.286)	(4.310)	(4.295)	(4.223)
ij.cossim	1.810**	1.804**	1.766**	1.802**	1.765**	1.815**
	(0.578)	(0.578)	(0.578)	(0.578)	(0.578)	(0.586)
ij.dist	-0.326**	-0.329**	-0.337**	-0.329**	-0.337**	-0.347**
	(0.105)	(0.105)	(0.106)	(0.105)	(0.106)	(0.106)
j.constraint	0.066	0.070	0.057	0.104	0.086	0.117
	(0.480)	(0.479)	(0.477)	(0.483)	(0.480)	(0.482)
i.constraint	-3.821*	-3.232	-2.522	-3.215	-2.514	-3.239
	(1.726)	(2.075)	(1.916)	(2.073)	(1.916)	(2.092)
i.pow.n3	-0.005	-0.009	-0.006	-0.010	-0.006	-0.010
	(0.061)	(0.061)	(0.061)	(0.061)	(0.061)	(0.061)
ij.syn.constraint	-6.185***	-6.151***	-4.075**	-6.135***	-4.077**	-6.478***
	(1.007)	(1.006)	(1.445)	(1.005)	(1.445)	(1.022)
ij.syn.pow.n3	-0.002	-0.002	-0.002	-0.004	-0.005	-0.002
	(0.008)	(0.008)	(0.009)	(0.012)	(0.013)	(0.008)
I(i.fm.mmc.sum^2)		-0.072	-0.058	-0.074	-0.060	-0.066
		(0.135)	(0.129)	(0.135)	(0.129)	(0.136)
ij.syn.constraint x I(i.fm.mmc.sum^2)			-0.427		-0.423	
			(0.237)		(0.237)	
ij.syn.pow.n3 x I(i.fm.mmc.sum^2)				0.001	0.001	
				(0.002)	(0.002)	
ij.syn.closeness2						-0.007*
						(0.003)
ij.syn.closeness2 x I(i.fm.mmc.sum^2)						0.001
						(0.000)
Likelihood-ratio	280.7	281.0	284.2	281.3	284.4	288.6
Log-likelihood	-307.2	-307.0	-305.4	-306.9	-305.3	-303.2
Deviance	608.8	608.5	605.3	608.2	605.1	600.9
AIC	650.8	652.5	651.3	654.2	653.1	648.9
BIC	723.1	728.2	730.5	733.4	735.7	731.6
N	231	231	231	231	231	231
